Call of Duty®: Black Ops Cold War,Singleplayer  Multiplayer  Action  FPS,110,993
Spiritfarer®: Farewell Edition,Emotional  Story Rich  Indie  Management,16,264
DayZ,Survival  Open World  Online Co-Op  Zombies,99,178
Call of Duty®: Modern Warfare® III,Action  FPS  Multiplayer  Singleplayer,174,827
Supermarket Simulator,Simulation  Management  Economy  Singleplayer,33,805
"Warhammer 40,000: Rogue Trader",Multiple Endings  Multiplayer  Co-op  Strategy,104,250
Call of Duty®: WWII,World War II  FPS  Multiplayer  Singleplayer,69,887
Sniper Ghost Warrior Contracts 2,FPS  Sniper  Stealth  Shooter,14,899
Cruelty Squad,Capitalism  Surreal  Immersive Sim  FPS,22,321
SCUM,Survival  Open World Survival Craft  Multiplayer  Open World,74,727
Marvel's Guardians of the Galaxy,Singleplayer  Story Rich  Action  Action-Adventure,35,652
Oblivion Game of the Year Deluxe,RPG  Open World  Fantasy  Singleplayer,0,245
Minami Lane,Cute  Casual  Life Sim  Relaxing,12,937
Breathedge,Open World Survival Craft  Space  Survival  Singleplayer,23,930
Green Hell,Open World Survival Craft  Survival  Multiplayer  Online Co-Op,34,774
HITMAN World of Assassination,Stealth  Assassin  Action  Singleplayer,36,703
Call of Duty®: Modern Warfare® II,Action  FPS  Singleplayer  Multiplayer,0,714
Disco Elysium - The Final Cut,RPG  Story Rich  Choices Matter  Detective,37,411
Star of Providence,Roguelite  Bullet Hell  Action Roguelike  Shoot 'Em Up,50,45
Call of Duty®: Black Ops II,Multiplayer  Action  FPS  Shooter,69,972
Super Bunny Man,Sandbox  Platformer  Multiplayer  Singleplayer,33,460
EARTH DEFENSE FORCE 6,Action  Third-Person Shooter  Shooter  Online Co-Op,119,79
Insurgency: Sandstorm,FPS  Realistic  Shooter  Military,42,49
Streetdog BMX Demo,No tags found,0,744
Garten of Banban 0,Horror  Singleplayer  First-Person  Puzzle,0,218
Ultimate Sheep Raccoon Demo,No tags found,0,421
Lost Skies Demo,Adventure  Action  Open World Survival Craft  Base Building,0,563
Three Kingdoms Mushouden Demo,Strategy  RPG  Strategy RPG  Adventure,0,392
PUBG: BLINDSPOT Demo,Action  Strategy  Shooter  RTS,0,340
gogh: Focus with Your Avatar Demo,Casual  Relaxing  Simulation  Utilities,0,221
Nordhold Demo,Roguelite  Tower Defense  Strategy  Singleplayer,0,398
Motorcycle Night Ride Demo,Simulation  Racing  Automobile Sim  3D,0,628
Dune: Awakening - Character Creator & Benchmark Mode,No tags found,0,425
Sugardew Island - Your cozy farm shop Demo,No tags found,0,923
Mecha BREAK Demo,Mechs  Action  Robots  Free to Play,0,198
GOD FORSAKEN Demo,Action Roguelike  Action  RPG  Dark Fantasy,0,669
Cubic Odyssey Demo,Action  Adventure  RPG  Action-Adventure,0,603
Machine Mind Demo,Exploration  Base Building  Tower Defense  Strategy,0,214
Monster Train 2 Demo,No tags found,0,107
Architect Life: A House Design Simulator Demo,Immersive Sim  Design & Illustration  Education  Sandbox,0,946
TRIBE NINE,Action  RPG  Free to Play  Difficult,0,312
The Hundred Line -Last Defense Academy- Demo Ver.,Adventure  Multiple Endings  Story Rich  Dark Humor,0,409
